ID,group,baseline,time,value
5344,D28,58.61,2,6.42
5344,D28,58.61,7,29.17
5344,D28,58.61,14,13.87
5344,D28,58.61,21,13.87
5344,D28,58.61,27,8.44
5344,D28,58.61,36,13.87
5344,D28,58.61,42,13.87
5344,D28,58.61,50,18.79
5344,D28,58.61,57,39.81
5344,D28,58.61,63,18.34
5344,D28,58.61,70,22.28
5344,D28,58.61,78,13.07
5344,D28,58.61,84,22.28
5345,D28,16.41,2,2.65
5345,D28,16.41,7,2.81
5345,D28,16.41,14,3.67
5345,D28,16.41,21,5.04
5345,D28,16.41,27,6.66
5345,D28,16.41,36,6.4
5345,D28,16.41,42,9.86
5345,D28,16.41,50,8.44
5345,D28,16.41,57,8.44
5345,D28,16.41,63,6.58
5345,D28,16.41,70,7.8
5345,D28,16.41,78,18.79
5345,D28,16.41,84,18.34
5346,D28,27.79,2,2.64
5346,D28,27.79,7,4.4
5346,D28,27.79,14,3.13
5346,D28,27.79,21,5.56
5346,D28,27.79,27,8.44
5346,D28,27.79,36,6.64
5346,D28,27.79,42,4.67
5346,D28,27.79,50,22.28
5346,D28,27.79,57,5.54
5346,D28,27.79,63,8.44
5346,D28,27.79,70,10.31
5346,D28,27.79,78,10.31
5346,D28,27.79,84,11.69
5347,D28,29.82,2,2
5347,D28,29.82,7,2.37
5347,D28,29.82,14,3.33
5347,D28,29.82,21,3.33
5347,D28,29.82,27,3.58
5347,D28,29.82,36,7.8
5347,D28,29.82,42,11.69
5347,D28,29.82,50,9.86
5347,D28,29.82,57,8.61
5347,D28,29.82,63,11.69
5347,D28,29.82,70,6.64
5347,D28,29.82,78,9.92
5347,D28,29.82,84,18.79
5348,D28,37.3,2,8.61
5348,D28,37.3,7,3.58
5348,D28,37.3,14,6.64
5348,D28,37.3,21,3.58
5348,D28,37.3,27,6.42
5348,D28,37.3,36,3.73
5348,D28,37.3,42,10.04
5348,D28,37.3,50,7.8
5348,D28,37.3,57,13.87
5348,D28,37.3,63,7.11
5348,D28,37.3,70,5.54
5348,D28,37.3,78,11.02
5348,D28,37.3,84,11.69
5349,D28,27.88,2,2
5349,D28,27.88,7,2.37
5349,D28,27.88,14,1.85
5349,D28,27.88,21,7.8
5349,D28,27.88,27,7.31
5349,D28,27.88,36,4.47
5349,D28,27.88,42,8.61
